trans_code,acct_num,trans_dt,debit_amt,credit_amt,balance,description,teller_id
LEG0768657,00005821,01-11-2023,0.0,16294.4,92292.17,Direct Deposit,T0208
LEG4009272,00005155,01/18/24,0.0,1575.06,35252.09,Transfer In,T0182
LEG0830354,ACC 00003317,20240304,7080.71,0.0,21706.38,ATM Withdrawal,T0129
LEG2456961,ACC 00010507,02/29/24,2913.08,0.0,34106.48,Check Deposit,T0221
LEG0533275,ACC00009190,12-16-2023,0.0,15049.18,73873.78,Card Purchase,T0216
LEG7079040,ACC-0000-3475,12-04-2023,0.0,24927.04,85043.69,Online Purchase,T0234
LEG5754203,ACC-0000-2457,03-02-2024,0.0,21749.8,23858.24,ATM Withdrawal,T0103
LEG9603062,ACC-0001-0824,27-10-2023,6743.85,0.0,75775.54,Online Purchase,T0134
LEG5633242,00004919,11/22/23,6854.86,0.0,96783.88,Monthly Fee,T0130
LEG1792964,00001790,16-12-2023,20748.77,0.0,70396.12,Card Purchase,T0236
LEG4966889,ACC00008851,11-01-2023,0.0,22092.65,1916.6,Online Purchase,T0164
LEG4511607,00009920,11-01-2024,7751.72,0.0,83046.76,Direct Deposit,T0187
LEG5483336,00004723,13-12-2023,767.15,0.0,87865.72,Bill Payment,T0179
LEG3755398,ACC-0000-9533,01-29-2024,2942.36,0.0,74023.39,Refund,T0198
LEG7483568,ACC 00003368,30-09-2023,0.0,2011.48,94158.84,Refund,T0105
LEG9650804,ACC-0000-3000,02-19-2024,0.0,22561.48,50762.3,Monthly Fee,T0155
LEG3348872,ACC-0000-6758,20231130,21548.8,0.0,15321.03,Card Purchase,T0194
LEG0346004,ACC-0000-6166,20240218,0.0,6709.26,91143.54,Monthly Fee,T0114
LEG4232673,ACC-0000-3139,20240202,0.0,22897.84,92257.76,Monthly Fee,T0170
LEG9020297,ACC 00003412,09/20/23,22076.64,0.0,63942.31,Direct Deposit,T0144
LEG3346237,ACC-0000-6676,18-12-2023,13407.64,0.0,59995.84,Interest Payment,T0100
LEG2283825,ACC 00010179,09-24-2023,0.0,6213.73,22620.71,Card Purchase,T0216
LEG9526058,ACC 00007496,11-03-2024,0.0,15677.51,19093.19,Bill Payment,T0243
LEG5511388,ACC 00009828,20231002,0.0,1993.66,91987.86,Bill Payment,T0207
LEG7641625,00002753,04/04/24,0.0,-6629.21,59883.95,Bill Payment,T0152
LEG9975712,ACC00007267,20231025,5172.49,0.0,12122.51,Refund,T0192
LEG5868513,00002495,20240209,16694.11,0.0,39833.9,Card Purchase,T0138
LEG3978821,00006730,12-17-2023,11457.25,0.0,31986.39,Card Purchase,T0194
LEG0160441,ACC-0000-3933,10-01-2023,0.0,8506.79,26062.45,Transfer In,T0108
LEG9508743,ACC 00003209,03-20-2024,0.0,6767.02,47957.9,Transfer In,T0218
LEG6850817,ACC 00002862,12-10-2023,4343.86,0.0,12790.23,Online Purchase,T0111
