payment_ref,account_no,payment_datetime,payment_amount,currency,merchant_code,auth_code,settlement_date
PGS929558146768,ACC00006591,02/29/2024 07:51 PM,5247.13,USD,MER01417,AUTH0313,03/02/2024 07:51 PM
PGS390891807678,ACC00006798,20240513073700,5961.37,GBP,MER01030,AUTH7266,20240516073700
PGS717585246647,ACC00001934,09/03/2024 04:16:14,947.32,EUR,MER01743,AUTH8099,11/03/2024 04:16:14
PGS236512021058,ACC00010450,20240126215414,2759.02,AUD,MER01268,AUTH8844,20240129215414
PGS071689663924,ACC00001651,18/02/2024 16:41:04,2843.57,GBP,MER01348,AUTH8234,20/02/2024 16:41:04
PGS358372404623,ACC00001040,25-Mar-2024 01:35,6459.09,EUR,MER01163,AUTH4319,28-Mar-2024 01:35
PGS366286673494,ACC00003879,27/12/2023 14:10:55,5218.52,USD,MER01329,AUTH5279,29/12/2023 14:10:55
PGS895692517828,ACC00004860,20240323094034,4403.4,EUR,MER01376,AUTH6118,20240324094034
PGS450581689098,ACC00009545,01/23/2024 05:23 PM,1005.97,GBP,MER01043,AUTH1947,01/24/2024 05:23 PM
PGS064091523180,ACC00003760,13/01/2024 07:37:27,1104.38,EUR,MER01056,AUTH7970,16/01/2024 07:37:27
PGS835628262247,ACC00007439,20240224035537,4500.69,EUR,MER01761,AUTH8847,
PGS021874289654,ACC00002961,21/05/2024 01:56:34,150.45,CAD,MER01319,AUTH2617,23/05/2024 01:56:34
PGS561748128935,ACC00010227,28/12/2023 23:49:49,2795.81,AUD,MER01004,,29/12/2023 23:49:49
PGS469703633526,ACC00001181,16-May-2024 23:00,7904.42,EUR,MER01328,AUTH6244,17-May-2024 23:00
PGS949300488724,ACC00009133,20240203134753,9033.31,CAD,MER01447,AUTH0772,20240204134753
PGS380736001147,ACC00009145,2024-04-28 13:22:25,2783.06,AUD,MER01320,AUTH5139,2024-04-29 13:22:25
PGS675915049395,ACC00005992,02/26/2024 02:25 PM,9414.64,USD,MER01265,AUTH2097,02/27/2024 02:25 PM
PGS299242428677,ACC00006359,2024-02-01 01:32:34,1596.42,AUD,MER01186,AUTH8552,2024-02-04 01:32:34
PGS663407855938,ACC00008609,13-May-2024 19:51,312.29,USD,MER01783,AUTH5236,14-May-2024 19:51
PGS880021124909,ACC00004740,20240203090722,3754.15,GBP,MER01971,AUTH4249,20240205090722
PGS481268343446,ACC00010986,04/25/2024 06:45 AM,8647.17,USD,MER01735,AUTH0224,04/28/2024 06:45 AM
PGS941709837624,ACC00005694,01/04/2024 14:27:52,4569.75,CAD,MER01826,AUTH4156,02/04/2024 14:27:52
PGS824317962537,ACC00007157,01/15/2024 04:08 PM,4761.26,USD,MER01553,AUTH3674,01/17/2024 04:08 PM
PGS585805774095,ACC00005347,02/07/2024 10:28 AM,4337.34,CAD,MER01186,,02/08/2024 10:28 AM
PGS958668579634,ACC00010616,03/01/2024 13:28:07,570.98,EUR,MER01515,,05/01/2024 13:28:07
PGS138254019558,ACC00006849,02/22/2024 05:16 AM,6275.44,EUR,MER01170,AUTH3899,02/25/2024 05:16 AM
PGS967106488795,ACC00005967,2024-02-18 17:53:47,7922.17,EUR,MER01226,AUTH3602,2024-02-21 17:53:47
PGS272210738657,ACC00001037,08/02/2024 22:22:27,5801.45,EUR,MER01800,AUTH1391,10/02/2024 22:22:27
PGS394155038350,ACC00005712,07/03/2024 05:30:28,21.23,EUR,MER01244,AUTH2176,09/03/2024 05:30:28
PGS585879782183,ACC00001919,01/16/2024 10:47 PM,9059.97,USD,MER01624,AUTH6305,01/18/2024 10:47 PM
PGS439652755354,ACC00004901,01-Apr-2024 07:40,9602.84,CAD,MER01336,AUTH4934,02-Apr-2024 07:40
PGS495861144601,ACC00003117,2024-02-12 07:28:46,2975.43,EUR,MER01232,AUTH8528,2024-02-13 07:28:46
PGS944337808102,ACC00006209,02/21/2024 04:03 PM,9356.06,AUD,MER01366,AUTH5701,02/22/2024 04:03 PM
PGS913258180370,ACC00010601,16/04/2024 08:26:16,1053.29,CAD,MER01444,AUTH8792,19/04/2024 08:26:16
PGS259594486298,ACC00010315,07-May-2024 03:52,1339.84,EUR,MER01616,,
PGS450515599637,ACC00009783,18-Jan-2024 09:14,2784.45,USD,MER01660,,21-Jan-2024 09:14
